gene_id1,gene_id2,p_val_cond
Col1a1,Fn1,6.112244691951822e-95
Col1a1,Nid1,2.422947588308831e-85
Col1a1,Fbln2,5.699552304325376e-85
Fbln2,Fn1,1.929649845962382e-83
Polr2a,Prpf8,8.107911411570307e-80
Col1a1,Col6a2,1.324660413787587e-78
Fn1,Nid1,2.075670123011025e-71
Col6a2,Fbln2,1.940047388260398e-69
Col5a1,Fn1,8.780897945727026e-69
Cyb5r3,Sh3pxd2a,1.678194255836459e-63
Aebp1,Col1a1,3.216918914091738e-62
Col6a2,Fn1,3.136382600934014e-59
Col1a1,Lox,2.718018227515519e-58
Col3a1,Fn1,1.124432161079982e-57
Col1a1,Col5a1,2.4313819662018e-57
Col1a1,P4hb,1.821541349336478e-55
Col6a3,Fn1,6.659664972072683e-55
Bgn,Col6a2,9.147232754292071e-55
Bgn,Col1a1,1.012565579177134e-54
Bgn,Fbln2,4.016552713222954e-54
Col5a2,Fn1,9.010358738828031e-54
Col1a1,Postn,8.770006546519666e-52
Aebp1,Fn1,2.189088083094626e-51
Col1a1,Col6a3,2.795143550399796e-51
Bgn,P4hb,3.001083195149332e-49
Col1a1,Col5a2,3.959792067624314e-49
Col1a1,Col6a1,1.335993765009895e-48
Col1a1,Col3a1,8.555967358709323e-47
Bgn,Emp1,1.186145878162045e-46
Fbln2,Nid1,1.87884932760567e-46
Fn1,Tnc,1.925267259035859e-46
Fn1,P4hb,1.985687624014008e-46
Flnb,Plec,3.032151195887873e-46
Fn1,Postn,5.866264898678834e-45
Fn1,Lox,1.220281876969063e-43
Fbn1,Fn1,1.668341011444564e-43
Flna,Flnb,2.700746348446063e-43
Col1a1,Tnc,5.94756101664093e-43
Col5a1,Fbln2,9.696684173554464e-43
Fn1,Pdia3,1.107373727996244e-42
Cyb5r3,Kif1c,1.327924061113112e-42
Bgn,Lox,3.937009935882435e-42
Fn1,Vcan,2.131731913448944e-41
Bgn,Pdia3,1.676876696673323e-40
Col1a1,Vcan,2.609001114147172e-40
Fn1,Hspg2,1.930372629026394e-39
Col1a1,Ptx3,6.170524456113045e-39
Aebp1,Bgn,9.413334330424464e-39
Col4a2,Fn1,1.091540831209698e-38
Fbln2,Postn,1.32274188453543e-38
Fn1,Thbs1,3.247128750353972e-38
Fn1,Itgb1,1.518861796087699e-37
Cyb5r3,Kctd10,2.044833320922937e-37
Ddr2,Sh3pxd2a,4.937196666784469e-37
Col6a1,Fn1,5.921834496649943e-37
Fn1,Serpinh1,1.904136829236052e-36
Bgn,Postn,2.527035362578277e-36
Col5a1,Col6a2,3.070760500645903e-36
Col6a1,Col6a2,4.887525829867597e-36
Col5a2,Fbln2,9.717257504388279e-36
Fn1,Vcl,2.909694044728446e-35
Fbln2,Pdia6,4.179282808084136e-35
Fn1,Lrp1,3.847346433644708e-34
Fn1,Il6st,8.170198756150995e-34
Col6a2,Lox,9.16898443411329e-34
Col1a1,Serpinh1,1.465547128541031e-33
Lox,P4hb,1.601618025900693e-33
Col5a1,Nid1,1.814927837065393e-33
Fbln2,Lox,1.821821516281173e-33
Fbln2,P4hb,5.027750969519403e-33
Col1a1,Pdia6,5.210563524532377e-33
Cyb5r3,Ddr2,7.754431571518632e-33
Col1a1,Itgb1,1.226054296437487e-32
Col1a1,Emp1,3.805997179518615e-32
Col1a1,Sdc4,6.916195398634514e-32
Aebp1,P4hb,1.409915737177721e-31
Bgn,Col5a1,4.269656668963156e-31
Emp1,Lox,1.123861317636988e-29
Calu,Col1a1,1.788390494162204e-29
Col6a2,Nid1,3.740160553382064e-29
Bgn,Pdia6,4.204732340184483e-29
Nid1,P4hb,5.399360521528651e-29
Col1a1,Il6st,6.163877728051924e-29
Bgn,Nid1,6.688427377390117e-29
Emp1,Fn1,1.414927089166854e-28
Calu,Fn1,1.507616073056502e-28
Fn1,Pdia6,2.084006835675705e-28
Flna,Plec,3.149732635279923e-28
Bgn,Sdc4,5.004910658059736e-28
Col1a1,Lamc1,6.003953776994606e-28
Col1a1,Thbs1,6.437425635347825e-28
Fn1,Pdia4,7.693144104527683e-28
Fat1,Fn1,1.853585728035981e-27
Mki67,Ranbp2,2.439981548059062e-27
Aebp1,Col6a2,2.758385829171953e-27
Bgn,Col6a1,3.10103701245202e-27
Col6a2,Pdia6,3.181176440618302e-27
Col1a1,Timp3,3.479062790310286e-27
Col1a1,Pdia3,3.823459190990782e-27
Axl,Col1a1,1.119922852988479e-26
Fbln2,Pdia3,1.280125958735653e-26
Fn1,Ldlr,1.554826494280916e-26
Bgn,Calu,2.317920004636901e-26
Col6a2,Postn,2.578072683357154e-26
Bgn,Serpinf1,3.212605883969526e-26
Col1a1,Pdia4,5.443922684758675e-26
Col1a1,Ltbp2,6.695751235790807e-26
Fn1,Ltbp2,6.981447758300316e-26
Bgn,Serpinh1,7.100250317197003e-26
Nid1,Tnc,8.273709192004502e-26
Col3a1,Fbln2,1.432473800994075e-25
Fn1,Ptx3,1.74450738364459e-25
Col1a1,Hspg2,5.75306428659671e-25
Aebp1,Nid1,7.964486911992777e-25
Nid1,Thbs1,9.34853113507762e-25
Lox,Pdia6,1.044376612130788e-24
Cd248,Fn1,1.129248052065763e-24
Itgb1,Lox,2.654449523588415e-24
Col6a2,P4hb,6.011819064175331e-24
Col1a1,Col4a2,1.048922606242949e-23
Fbln2,Serpinh1,2.852437490643544e-23
Col1a1,Vcl,3.334409283212739e-23
Fn1,Slc38a2,3.480367177037079e-23
Col6a2,Serpinh1,4.314386306383679e-23
Dhcr24,Fn1,4.811921999606528e-23
Ckap4,Col1a1,5.2966035524129e-23
Aebp1,Fbln2,6.213886816172607e-23
Col6a2,Emp1,6.861634394600264e-23
Axl,Bgn,8.315209092750221e-23
Col5a2,Col6a2,1.200666727928679e-22
Fbln2,Vcan,3.148973617646066e-22
Fbln2,Tnc,3.225003876157445e-22
Kif1c,Sh3pxd2a,4.348448111513825e-22
P4hb,Pdia6,4.562364755378392e-22
Col6a2,Pdia3,5.121999909782527e-22
Fbln2,Sdc4,6.109463694783667e-22
Calu,Lox,6.957909233154642e-22
Col1a1,Lrp1,8.526793990692426e-22
Col1a1,Fstl1,8.969966470350093e-22
Fn1,Sdc4,1.499639161204177e-21
Col5a1,Col6a1,1.499989973115266e-21
Pdia6,Serpinh1,1.963677509501437e-21
Col16a1,Fn1,2.190556759779194e-21
Pdia3,Serpinh1,2.393769359749815e-21
Col1a1,Serpinf1,4.793795616331668e-21
Col1a1,Gas1,6.509440866217183e-21
Serpine1,Thbs1,7.474679665990898e-21
Col5a1,P4hb,7.649010240960291e-21
Bgn,Itgb1,1.834442588291012e-20
Calu,Fbln2,2.440890010372957e-20
Col6a1,Serpinh1,2.868561760385948e-20
