partner,delta,z,fdr,S_epi,S_int,S_deep
BTNL9,0.38004750593824227,12.234834126334398,0.0021279682739275526,0.4916864608076009,0.37292161520190026,0.11163895486935867
AQP1,0.35658450985084156,13.806641713096214,0.0021279682739275526,0.5793650793650794,0.4304857621440536,0.22278056951423786
CD93,0.27024516320817815,11.918602692530317,0.0021279682739275526,0.40778097982708933,0.25644699140401145,0.13753581661891118
KDR,0.25,7.913699957755252,0.0021279682739275526,0.4238095238095238,0.25952380952380955,0.1738095238095238
VWF,0.2369723441939412,10.780113555545471,0.0021279682739275526,0.3277439024390244,0.15853658536585366,0.0907715582450832
SOX17,0.22108843537414968,6.394377707728016,0.0021279682739275526,0.3707482993197279,0.30272108843537415,0.14965986394557823
PECAM1,0.21812064064403558,10.198270228884969,0.0021279682739275526,0.311178247734139,0.20236336779911374,0.0930576070901034
CLEC14A,0.21140939597315436,9.308954585954702,0.0021279682739275526,0.31208053691275167,0.2181208053691275,0.10067114093959731
ADIPOQ,0.19999999999999998,1.5788426353623697,0.26592953523238383,0.3,0.25,0.1
EDNRB,0.18701298701298696,5.172580055950835,0.0021279682739275526,0.5636363636363636,0.4727272727272727,0.37662337662337664
MMRN2,0.17495395948434622,7.7554367256440555,0.0021279682739275526,0.2559852670349908,0.21731123388581952,0.08103130755064457
RAMP2,0.15073529411764705,6.92806489055111,0.0021279682739275526,0.22058823529411764,0.13970588235294118,0.06985294117647059
HOXD8,0.12949640287769784,6.753746414336413,0.0021279682739275526,0.18345323741007194,0.09712230215827339,0.0539568345323741
ESM1,0.12,1.41669550769907,0.32531679365796556,0.16,0.12,0.04
TCF4,0.11773472429210136,5.560932920552475,0.0021279682739275526,0.2503725782414307,0.17287630402384502,0.13263785394932937
CAV1,0.10965630114566285,4.2014517357743735,0.0021279682739275526,0.3453355155482815,0.3044189852700491,0.23567921440261866
HOXD9,0.10722610722610723,5.623698901947923,0.0021279682739275526,0.13752913752913754,0.07459207459207459,0.030303030303030304
ZEB1,0.0962566844919786,3.923353287248749,0.0021279682739275526,0.2709447415329768,0.21390374331550802,0.1746880570409982
PTGDS,0.09059233449477355,2.187675453492641,0.08499596355668321,0.5749128919860628,0.578397212543554,0.4843205574912892
ANKRD29,0.08368200836820083,2.5231743753232583,0.03573213393303348,0.19246861924686193,0.1506276150627615,0.1087866108786611
DPT,0.078125,1.317286914995068,0.3538230884557721,0.4375,0.4453125,0.359375
IL3RA,0.07772020725388601,4.226103556023965,0.0021279682739275526,0.11139896373056994,0.05699481865284974,0.03367875647668394
EGFL7,0.06923076923076923,4.496008656468624,0.0021279682739275526,0.08205128205128205,0.06153846153846154,0.01282051282051282
CLDN5,0.06896551724137931,2.100003597559941,0.09406407907157532,0.10344827586206896,0.0603448275862069,0.034482758620689655
GJB2,0.05555555555555555,0.9105853047636384,0.5395407559378206,0.14814814814814814,0.07407407407407407,0.09259259259259259
FBLIM1,0.05509641873278237,1.9554399481944646,0.12113943028485756,0.19008264462809918,0.19008264462809918,0.1349862258953168
ANGPT2,0.05047318611987382,3.005753186853703,0.007539087599057614,0.07255520504731862,0.031545741324921134,0.022082018927444796
MEDAG,0.04901960784313726,1.030776333245301,0.43108678219030017,0.14705882352941177,0.13725490196078433,0.09803921568627451
RAPGEF3,0.039444623669255774,3.565044529701531,0.0021279682739275526,0.0423728813559322,0.014124293785310734,0.0029282576866764276
SVIL,0.03468208092485549,1.7725233853073252,0.14622688655672164,0.12138728323699421,0.10404624277456648,0.08670520231213873
CCPG1,0.030245746691871467,1.5169998278986394,0.26592953523238383,0.1285444234404537,0.11342155009451796,0.09829867674858223
NOSTRIN,0.02994011976047904,2.4777183828790594,0.03154944266996936,0.05189620758483034,0.027944111776447105,0.021956087824351298
CENPF,0.029850746268656716,1.4382235111343562,0.3636431784107946,0.029850746268656716,0.0,0.0
STC1,0.028368794326241134,0.8648116532229608,0.5390852960616466,0.09219858156028368,0.07801418439716312,0.06382978723404255
SERPINB9,0.027932960893854747,1.9448084603184297,0.12510985886367162,0.05307262569832402,0.04189944134078212,0.025139664804469275
IL7R,0.027777777777777783,0.9441154389854423,0.5110631497438094,0.0763888888888889,0.041666666666666664,0.04861111111111111
MMP2,0.02402957486136781,0.7854467230633708,0.5665002550271256,0.5785582255083179,0.532347504621072,0.5545286506469501
PELI1,0.020289855072463767,1.5026193603849973,0.2756830539953904,0.04057971014492753,0.02608695652173913,0.020289855072463767
PRDM1,0.0182648401826484,0.7742990918157122,0.6010328169248709,0.0730593607305936,0.0684931506849315,0.0547945205479452
DUSP5,0.016806722689075633,0.9520704632269743,0.5255850335701715,0.046218487394957986,0.046218487394957986,0.029411764705882353
BACE2,0.014457831325301203,1.1373588913914636,0.41543513957307066,0.043373493975903614,0.02650602409638554,0.02891566265060241
PDK4,0.014018691588785048,0.5070169005961946,0.7009712535036831,0.20093457943925233,0.1705607476635514,0.18691588785046728
MKI67,0.012195121951219513,0.9803349618505711,0.6331600554862754,0.012195121951219513,0.024390243902439025,0.0
CD9,0.01152737752161383,0.995406712246648,0.47496251874062967,0.02881844380403458,0.0345821325648415,0.01729106628242075
EDN1,0.009433962264150941,0.3132333325680238,0.8206296851574213,0.05660377358490566,0.0660377358490566,0.04716981132075472
PPARG,0.0057692307692307696,0.4171643535200595,0.7714786674459381,0.057692307692307696,0.04038461538461539,0.051923076923076926
DSP,0.004310344827586209,0.34904345507425183,0.8141295206055508,0.021551724137931036,0.017241379310344827,0.017241379310344827
SRPK1,0.0,0.02364770985373447,1.0,0.016025641025641024,0.019230769230769232,0.016025641025641024
MLPH,0.0,0.008028529457865531,1.0,0.016736401673640166,0.029288702928870293,0.016736401673640166
CCL8,0.0,0.02836089054083619,1.0,0.08823529411764706,0.08823529411764706,0.08823529411764706
CEACAM6,0.0,-0.014762999670425773,1.0,0.015209125475285171,0.0076045627376425855,0.015209125475285171
CTTN,-0.0028169014084507005,-0.21502000109551808,0.8811308631398586,0.061971830985915494,0.061746987951807226,0.0647887323943662
POLR2J3,-0.0031152647975077876,-0.6297819665167464,0.6755729278218033,0.006230529595015576,0.010903426791277258,0.009345794392523364
SERPINA3,-0.00364963503649636,-0.14672515321867907,0.9116847826086957,0.072992700729927,0.08759124087591241,0.07664233576642336
SQLE,-0.004830917874396134,-0.36679843815358193,0.7981463813547772,0.014492753623188406,0.01932367149758454,0.01932367149758454
ZNF562,-0.005376344086021506,-0.7284326787553375,0.6331600554862754,0.008064516129032258,0.002688172043010753,0.013440860215053764
ADAM9,-0.005639097744360902,-0.37948065225073485,0.7782999256674183,0.05827067669172932,0.045112781954887216,0.06390977443609022
EPCAM,-0.005754182777767597,-0.980984063103288,0.5665002550271256,0.005076142131979695,0.01444043321299639,0.010830324909747292
GATA3,-0.0061919504643962835,-0.6515365701044071,0.6475661251942836,0.01238390092879257,0.018575851393188854,0.018575851393188854
TMEM147,-0.006493506493506496,-0.5418945334783188,0.6949683053210237,0.032467532467532464,0.03896103896103896,0.03896103896103896
SEC24A,-0.006514657980456026,-0.8330845121776935,0.6010328169248709,0.006514657980456026,0.009771986970684038,0.013029315960912053
FCGR3A,-0.009090909090909087,-0.3029223972451029,0.8137734411482783,0.045454545454545456,0.01818181818181818,0.05454545454545454
JUP,-0.009202453987730064,-0.6105968112380068,0.6500749625187406,0.03374233128834356,0.024539877300613498,0.04294478527607362
FLNB,-0.009469696969696968,-0.6923716693075255,0.612458476644031,0.045454545454545456,0.045454545454545456,0.054924242424242424
TRAPPC3,-0.009671179883945839,-1.0391338192357373,0.47496251874062967,0.019342359767891684,0.019342359767891684,0.029013539651837523
TOP2A,-0.00980392156862745,-1.0141860719030915,0.6273209549071618,0.0,0.00980392156862745,0.00980392156862745
ENAH,-0.010526315789473682,-0.7564693549866026,0.6054596464144165,0.05964912280701754,0.07543859649122807,0.07017543859649122
CXCR4,-0.011194029850746273,-0.6328293973545221,0.6475661251942836,0.03731343283582089,0.08582089552238806,0.048507462686567165
KRT7,-0.01119699897692395,-1.244665032910038,0.3791116489947797,0.01511879049676026,0.013157894736842105,0.02631578947368421
SCD,-0.011461318051575933,-1.338813313661837,0.33951024487756126,0.008595988538681949,0.00946969696969697,0.02005730659025788
ADH1B,-0.01204819277108432,-0.15843277688892313,0.9116847826086957,0.4819277108433735,0.4457831325301205,0.4939759036144578
TIMP4,-0.012048192771084335,-0.3218845205585025,0.8206296851574213,0.04819277108433735,0.08433734939759036,0.060240963855421686
ANKRD30A,-0.012315270935960592,-1.3834272512778027,0.32531679365796556,0.009852216748768473,0.017241379310344827,0.022167487684729065
FOXA1,-0.013058191716324576,-1.4640258498093999,0.3253778516147332,0.007246376811594203,0.0024154589371980675,0.02030456852791878
CCDC6,-0.013157894736842105,-1.4453654134813039,0.29685157421289354,0.013157894736842105,0.021929824561403508,0.02631578947368421
DST,-0.013848973301678544,-0.9744881020285088,0.47238449740646915,0.07389937106918239,0.0959119496855346,0.08774834437086093
FAM107B,-0.014084507042253521,-1.313450159944197,0.35520701187867604,0.014084507042253521,0.036619718309859155,0.028169014084507043
KRT14,-0.014084507042253523,-0.387056405087429,0.7981463813547772,0.04225352112676056,0.08450704225352113,0.056338028169014086
S100A14,-0.014112554112554113,-1.6193040106617853,0.3038199210254028,0.0030303030303030303,0.02857142857142857,0.017142857142857144
AVPR1A,-0.014150943396226412,-0.632726004949295,0.656698677688183,0.05188679245283019,0.09905660377358491,0.0660377358490566
TRIB1,-0.01492537313432836,-0.9106382209535787,0.5395407559378206,0.01990049751243781,0.03980099502487562,0.03482587064676617
CRISPLD2,-0.014981273408239681,-0.45734290265744226,0.7301866308225198,0.149812734082397,0.13857677902621723,0.1647940074906367
SMS,-0.016042780748663103,-1.498746944067637,0.27401683773497865,0.013368983957219251,0.02406417112299465,0.029411764705882353
VOPP1,-0.01647162046154623,-1.5151888720448516,0.2756830539953904,0.022865853658536585,0.022774327122153208,0.039337474120082816
TPD52,-0.017482517482517484,-1.2313773849389653,0.37327677624602335,0.02097902097902098,0.017482517482517484,0.038461538461538464
TUBA4A,-0.018276762402088774,-1.9307028751579671,0.13864254313521204,0.010443864229765013,0.010443864229765013,0.028720626631853787
IGF1,-0.018587360594795543,-0.452494640836956,0.747062366252771,0.40892193308550184,0.4163568773234201,0.4275092936802974
IL2RG,-0.019230769230769232,-0.8149303301311379,0.6022788605697151,0.019230769230769232,0.019230769230769232,0.038461538461538464
CDH1,-0.020942408376963352,-1.6276616089449112,0.23620447840595832,0.005235602094240838,0.010471204188481676,0.02617801047120419
TACSTD2,-0.021201413427561835,-1.8989511419518927,0.12510985886367162,0.007067137809187279,0.004316546762589928,0.028268551236749116
SEC11C,-0.021352313167259787,-1.4854914986701289,0.28521033600846635,0.021352313167259787,0.028469750889679714,0.042704626334519574
KRT8,-0.02138222267998764,-2.6514508649586905,0.013887792945632449,0.006015037593984963,0.013533834586466165,0.0273972602739726
SFRP4,-0.02247191011235955,-0.579339551403615,0.6795186477557681,0.352059925093633,0.3707865168539326,0.37453183520599254
C1QA,-0.022471910112359564,-0.6540690869649916,0.6331600554862754,0.10674157303370786,0.1348314606741573,0.12921348314606743
FASN,-0.026515151515151516,-2.3647871776500513,0.04656495281770879,0.003787878787878788,0.008361204013377926,0.030303030303030304
LYZ,-0.02702702702702703,-1.8180390913468123,0.18276107847715486,0.02702702702702703,0.02702702702702703,0.05405405405405406
RUNX1,-0.027586206896551738,-1.2518865193844564,0.3515347589363213,0.09885057471264368,0.11494252873563218,0.12643678160919541
KIT,-0.028571428571428567,-0.7123613145272641,0.6273209549071618,0.04285714285714286,0.04285714285714286,0.07142857142857142
PTPRC,-0.029850746268656716,-1.2792435261980835,0.3632361034672537,0.022388059701492536,0.007462686567164179,0.05223880597014925
CD14,-0.02985074626865672,-0.9913059414623621,0.47496251874062967,0.07960199004975124,0.09950248756218906,0.10945273631840796
MDM2,-0.03925925925925926,-3.5591904460932846,0.0021279682739275526,0.02,0.027692307692307693,0.05925925925925926
FCER1G,-0.03927492447129909,-2.096321548062356,0.09086023026222738,0.04229607250755287,0.04229607250755287,0.08157099697885196
MRC1,-0.04255319148936171,-1.0802680882157172,0.4229649880941882,0.09219858156028368,0.14184397163120568,0.1347517730496454
MYLK,-0.04965753424657536,-2.4765723556901813,0.033685285017065934,0.09931506849315068,0.1267123287671233,0.14897260273972604
IGSF6,-0.051470588235294115,-1.9993883627156575,0.12251017348468622,0.022058823529411766,0.03676470588235294,0.07352941176470588
PDGFRA,-0.051724137931034475,-1.226489820079872,0.3672978325651989,0.5,0.4517241379310345,0.5517241379310345
AIF1,-0.051948051948051945,-3.0327421363456537,0.015223157651943259,0.022727272727272728,0.032467532467532464,0.07467532467532467
CD4,-0.05345911949685534,-2.6013123556986626,0.02638680659670165,0.03773584905660377,0.050314465408805034,0.09119496855345911
FGL2,-0.05725190839694656,-2.747090736928894,0.02091637108275131,0.03435114503816794,0.05725190839694656,0.0916030534351145
BASP1,-0.05817174515235457,-3.149252394175726,0.007539087599057614,0.036011080332409975,0.05817174515235457,0.09418282548476455
LDHB,-0.061461794019933555,-4.436217184646987,0.0021279682739275526,0.029900332225913623,0.07142857142857142,0.09136212624584718
MYH11,-0.062499999999999986,-1.4195299921073126,0.29685157421289354,0.08928571428571429,0.10714285714285714,0.15178571428571427
CCND1,-0.06418219461697723,-3.1652765580912323,0.012480246363304835,0.08488612836438923,0.09109730848861283,0.14906832298136646
CD3E,-0.06741573033707865,-2.386144883456638,0.03769543799528807,0.0,0.02247191011235955,0.06741573033707865
ACTG2,-0.06756756756756757,-4.141281245442223,0.0021279682739275526,0.05067567567567568,0.08783783783783784,0.11824324324324324
ITM2C,-0.07584269662921347,-2.968290534494928,0.009162085623854739,0.09269662921348315,0.10112359550561797,0.16853932584269662
C1QC,-0.08092485549132947,-2.6394473029862717,0.021989005497251374,0.046242774566473986,0.08092485549132948,0.12716763005780346
PTN,-0.0819672131147541,-2.748581472625038,0.022488755622188907,0.0546448087431694,0.07650273224043716,0.1366120218579235
APOC1,-0.08449032199710564,-3.2563292787696048,0.004122938530734633,0.001447178002894356,0.046875,0.0859375
SFRP1,-0.0847457627118644,-2.3293636874934136,0.03826086956521739,0.15254237288135594,0.211864406779661,0.23728813559322035
