pole,Term,Adjusted P-value,Genes
APICAL,Positive Regulation Of Cell Cycle (GO:0045787),0.3266859858630047,FOXA1;CCND1;MDM2;EGFR
APICAL,Supramolecular Fiber Organization (GO:0097435),0.3266859858630047,DSP;MYO5B;KRT15;MDM2;KRT23;KRT7
APICAL,Intermediate Filament Organization (GO:0045109),0.3266859858630047,DSP;KRT15;KRT23;KRT7
APICAL,Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.3266859858630047,FOXA1;GATA3;EGFR
APICAL,Positive Regulation Of miRNA Transcription (GO:1902895),0.3266859858630047,FOXA1;GATA3;EGFR
APICAL,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),0.3266859858630047,CCND1;ERBB2;ADAM9;EGFR
APICAL,Negative Regulation Of Multicellular Organismal Process (GO:0051241),0.3266859858630047,FOXA1;TACSTD2;GATA3;EGFR
APICAL,Regulation Of miRNA Transcription (GO:1902893),0.3266859858630047,FOXA1;GATA3;EGFR
APICAL,Nervous System Development (GO:0007399),0.3266859858630047,CDH1;ERBB2;EGFR
APICAL,Positive Regulation Of MAP Kinase Activity (GO:0043406),0.3266859858630047,ERBB2;ADAM9;EGFR
APICAL,Negative Regulation Of Cell Differentiation (GO:0045596),0.3266859858630047,FOXA1;GATA3;EGFR
APICAL,Positive Regulation Of Protein Modification Process (GO:0031401),0.3266859858630047,CCND1;ERBB2;EGFR
APICAL,Epithelial Cell Differentiation (GO:0030855),0.3266859858630047,KRT15;KRT23;GATA3
APICAL,Regulation Of MAP Kinase Activity (GO:0043405),0.3266859858630047,ERBB2;ADAM9;EGFR
APICAL,Response To Lipid (GO:0033993),0.3266859858630047,FOXA1;SCD;S100A14
APICAL,Regulation Of Apoptotic Process (GO:0042981),0.3266859858630047,FOXA1;TOP2A;ERBB2;MDM2;EGFR
APICAL,Regulation Of Protein Phosphorylation (GO:0001932),0.3266859858630047,CCND1;ERBB2;EGFR
APICAL,Negative Regulation Of Cell Motility (GO:2000146),0.3266859858630047,CDH1;TACSTD2;GATA3
APICAL,Positive Regulation Of Phosphorylation (GO:0042327),0.3969234365327396,CCND1;ERBB2;EGFR
APICAL,Negative Regulation Of Apoptotic Process (GO:0043066),0.4077217419623826,CEACAM6;ERBB2;MDM2;EGFR
APICAL,Negative Regulation Of Programmed Cell Death (GO:0043069),0.4080789307610588,ERBB2;MDM2;EGFR
APICAL,Negative Regulation Of Cellular Process (GO:0048523),0.4460172594971526,TACSTD2;AGR3;GATA3
APICAL,Positive Regulation Of DNA-templated Transcription (GO:0045893),0.4636580364107058,FOXA1;CDH1;EPCAM;ERBB2;GATA3;EGFR
APICAL,Regulation Of Cell Population Proliferation (GO:0042127),0.4939744291723469,EPCAM;CEACAM6;ERBB2;MDM2;GATA3;EGFR
APICAL,Positive Regulation Of Cell Population Proliferation (GO:0008284),0.5017869160557495,EPCAM;CEACAM6;ERBB2;MDM2;EGFR
APICAL,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),0.5320952629109876,CCND1;MDM2;GATA3
APICAL,Positive Regulation Of Cellular Process (GO:0048522),0.5320952629109876,EPCAM;CEACAM6;ERBB2;MDM2;EGFR
APICAL,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.5486445735563713,FOXA1;CCND1;EPCAM;MDM2;GATA3;EGFR
APICAL,Positive Regulation Of MAPK Cascade (GO:0043410),0.5644876693141457,ERBB2;ADAM9;EGFR
APICAL,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),0.5798554918849703,CDH1;GATA3;EGFR
APICAL,Positive Regulation Of Protein Phosphorylation (GO:0001934),0.5798554918849703,CCND1;ERBB2;EGFR
APICAL,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.5803656559840689,FOXA1;EPCAM;GATA3;EGFR
APICAL,Regulation Of Cell Migration (GO:0030334),0.6102109169084752,CDH1;CEACAM6;ADAM9;EGFR
APICAL,Cellular Response To Oxygen-Containing Compound (GO:1901701),0.6228534756724844,CDH1;ADAM9;EGFR
APICAL,Positive Regulation Of Cell Migration (GO:0030335),0.6228534756724844,CEACAM6;ADAM9;EGFR
APICAL,Positive Regulation Of Cell Motility (GO:2000147),0.6228534756724844,CEACAM6;ADAM9;EGFR
APICAL,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.7264211713252612,CCND1;MDM2;GATA3
APICAL,Regulation Of DNA-templated Transcription (GO:0006355),0.7645942066187869,FOXA1;CDH1;MDM2;GATA3;EGFR
APICAL,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),0.7811049350681161,ERBB2;GATA3;EGFR
APICAL,Regulation Of Gene Expression (GO:0010468),0.8163144419790448,CDH1;MDM2;GATA3
APICAL,Vesicle (GO:0031982),0.3150503915389367,MYO5B;CD9;EGFR
APICAL,Actin Cytoskeleton (GO:0015629),0.3150503915389367,MLPH;CTTN;CDH1;MYO5B;FLNB
APICAL,Cytoskeleton (GO:0005856),0.3150503915389367,CTTN;CDH1;MYO5B;KRT8;KRT7;FLNB
APICAL,Cortical Cytoskeleton (GO:0030863),0.3150503915389367,MLPH;CTTN;CDH1
APICAL,Basolateral Plasma Membrane (GO:0016323),0.3150503915389367,EPCAM;ERBB2;EGFR
APICAL,Cell-Substrate Junction (GO:0030055),0.3150503915389367,CTTN;CD9;ADAM9;FLNB;EGFR
APICAL,Cytoplasmic Vesicle Membrane (GO:0030659),0.3150503915389367,MYO5B;ERBB2;MDM2;CD9;EGFR
APICAL,Focal Adhesion (GO:0005925),0.3150503915389367,CTTN;CD9;ADAM9;FLNB;EGFR
APICAL,Polymeric Cytoskeletal Fiber (GO:0099513),0.3150503915389367,DSP;CTTN;KRT8;KRT7
APICAL,Bounding Membrane Of Organelle (GO:0098588),0.3150503915389367,TRAPPC3;ERBB2;MDM2;CD9;EGFR
APICAL,Intermediate Filament (GO:0005882),0.3150503915389367,DSP;KRT8;KRT7
APICAL,Intermediate Filament Cytoskeleton (GO:0045111),0.3150503915389367,DSP;KRT8;KRT7
APICAL,Endocytic Vesicle Membrane (GO:0030666),0.3150503915389367,MDM2;CD9;EGFR
APICAL,Intracellular Membrane-Bounded Organelle (GO:0043231),0.3313450926292501,FOXA1;TOP2A;DSP;SERPINA3;KRT8;TACSTD2;KRT7;GATA3;EGFR;CCND1;CTTN;KRT15;ERBB2;MDM2;AGR3
APICAL,Cell-Cell Junction (GO:0005911),0.3491255217173344,DSP;CDH1;DSC2
APICAL,Endocytic Vesicle (GO:0030139),0.3491255217173344,CTTN;MDM2;CD9
APICAL,Nucleus (GO:0005634),0.3632717160404706,FOXA1;TOP2A;DSP;SERPINA3;KRT8;TACSTD2;KRT7;GATA3;EGFR;CCND1;KRT15;ERBB2;MDM2
APICAL,Nuclear Lumen (GO:0031981),0.3632717160404706,TOP2A;SCD;MDM2
APICAL,Nucleolus (GO:0005730),0.3632717160404706,TOP2A;SCD;MDM2
APICAL,Secretory Granule Membrane (GO:0030667),0.4468303679695229,DSP;CEACAM6;CD9
APICAL,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.4505508434653233,TOP2A;CTTN;SCD;MDM2
APICAL,Cadherin Binding (GO:0045296),0.0163232350679922,CTTN;CDH1;EPCAM;FASN;FLNB;EGFR
APICAL,Protein Kinase C Binding (GO:0005080),0.2965805265663255,TOP2A;DSP;ADAM9
APICAL,Metal Ion Binding (GO:0046872),0.3610126502515137,TPD52;TOP2A;CDH1;S100A14;DSC2
APICAL,Calcium Ion Binding (GO:0005509),0.3610126502515137,TPD52;CDH1;S100A14;DSC2
APICAL,DNA Binding (GO:0003677),0.3610126502515137,FOXA1;TOP2A;SERPINA3;GATA3;EGFR
APICAL,Protein Heterodimerization Activity (GO:0046982),0.3610126502515137,TOP2A;CEACAM6;ERBB2
APICAL,RNA Binding (GO:0003723),0.3610126502515137,TOP2A;DSP;FASN;FLNB
APICAL,Protein Kinase Binding (GO:0019901),0.4086806805455295,TOP2A;DSP;CCND1;ADAM9
APICAL,Double-Stranded DNA Binding (GO:0003690),0.6860380861877877,FOXA1;GATA3;EGFR
APICAL,Androgen Response,0.0049295205250825,TPD52;CCND1;SCD;KRT8;SMS
APICAL,Estrogen Response Early,0.0054365071499051,AR;MLPH;CCND1;FASN;KRT15;KRT8;FLNB
APICAL,Estrogen Response Late,0.0096728628009888,TOP2A;SERPINA3;CCND1;CDH1;CD9;FLNB
APICAL,Mitotic Spindle,0.2211236013171193,TOP2A;CTTN;FLNB
APICAL,Cholesterol Homeostasis,0.2821251844961147,SCD;FASN;CD9
APICAL,Apoptosis,0.4097936598329398,TOP2A;CCND1;ERBB2
APICAL,Apical Junction,0.4295034742859501,CDH1;ADAM9;EGFR
APICAL,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,0.1858866577205296,CCND1;ERBB2;EGFR
APICAL,Signaling By Nuclear Receptors R-HSA-9006931,0.1858866577205296,FOXA1;CCND1;SCD;FASN;GATA3;EGFR
APICAL,Keratinization R-HSA-6805567,0.2014232506609709,KRT15;KRT8;KRT23;KRT7
APICAL,ESR-mediated Signaling R-HSA-8939211,0.2245469978808588,FOXA1;CCND1;GATA3;EGFR
APICAL,Gene Expression (Transcription) R-HSA-74160,0.2245469978808588,CCND1;FASN;ERBB2;MDM2;GATA3;EGFR
APICAL,Generic Transcription Pathway R-HSA-212436,0.2245469978808588,CCND1;FASN;ERBB2;MDM2;GATA3;EGFR
APICAL,RNA Polymerase II Transcription R-HSA-73857,0.2245469978808588,CCND1;FASN;ERBB2;MDM2;GATA3;EGFR
APICAL,Membrane Trafficking R-HSA-199991,0.2245469978808588,TPD52;TRAPPC3;CTTN;EGFR
APICAL,Post-translational Protein Modification R-HSA-597592,0.2245469978808588,TOP2A;TRAPPC3;MDM2;LYPD3;GATA3
APICAL,Cell Cycle R-HSA-1640170,0.2245469978808588,TOP2A;CCND1;MDM2
APICAL,Estrogen-dependent Gene Expression R-HSA-9018519,0.2245469978808588,FOXA1;CCND1;GATA3
APICAL,Vesicle-mediated Transport R-HSA-5653656,0.2245469978808588,TPD52;TRAPPC3;CTTN;EGFR
APICAL,Hemostasis R-HSA-109582,0.2245469978808588,SERPINA3;EPCAM;CEACAM6;CD9;GATA3
APICAL,Developmental Biology R-HSA-1266738,0.2245469978808588,KRT15;ERBB2;KRT8;KRT23;KRT7;EGFR
APICAL,PI3K/AKT Signaling In Cancer R-HSA-2219528,0.2245469978808588,ERBB2;MDM2;EGFR
APICAL,PIP3 Activates AKT Signaling R-HSA-1257604,0.3076453867154028,ERBB2;MDM2;EGFR
APICAL,Intracellular Signaling By Second Messengers R-HSA-9006925,0.3076453867154028,ERBB2;MDM2;EGFR
APICAL,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,0.3076453867154028,ERBB2;MDM2;EGFR
APICAL,Metabolism Of Proteins R-HSA-392499,0.326625885036388,TOP2A;TRAPPC3;MDM2;LYPD3;GATA3
APICAL,Disease R-HSA-1643685,0.5968256684697207,CCND1;ERBB2;MDM2;CD9;EGFR
APICAL,Signal Transduction R-HSA-162582,0.5968256684697207,FOXA1;OXTR;CCND1;CTTN;SCD;FASN;ERBB2;MDM2;GATA3;EGFR
APICAL,Cytokine Signaling In Immune System R-HSA-1280215,0.7958263040802891,CCND1;FLNB;GATA3
APICAL,Immune System R-HSA-168256,0.9947385691481542,SERPINA3;CCND1;CEACAM6;FLNB;GATA3
