gene,cell_effect,sub_effect,q_cell,q_sub
SFRP4,-0.18524414,0.00046353077,4.171683617437694e-06,0.8838600624580962
PDGFRA,-0.17084809,-0.0037996112,1.4480136578306121e-05,2.3181207270628335e-05
POSTN,-0.16960949,0.0010353415,1.4480136578306121e-05,0.42947833717948675
IGF1,-0.15708017,-0.0020069687,6.216760686711398e-05,0.16530287984994216
SFRP1,-0.14815184,0.00013069465,0.00016046891536536378,0.8838600624580962
FBLN1,-0.1433447,-0.0017310117,0.0002451315264036709,0.31624091266629273
MMP2,-0.12637314,-0.0024140067,0.001555597226839321,0.03981231243568232
CXCL12,-0.12158193,-0.0005739567,0.0023045262823664925,0.8838600624580962
PTGDS,-0.11609066,0.00026399744,0.0036684525054371995,0.8838600624580962
CCDC80,-0.10864978,-0.0003214694,0.007019205221347802,0.9891992480544723
PDGFRB,-0.10739405,-0.0051138075,0.007218394280420684,3.693335637322548e-09
DPT,-0.06992661,0.00025422013,0.14334706961447896,0.8838600624580962
SVIL,-0.059484493,-0.0011373792,0.2687677278347743,0.8138941109570199
TCF4,-0.05359458,-0.004042697,0.3607420288501763,5.37710490328136e-06
CCPG1,-0.04859186,-0.0017232178,0.452038074917282,0.31624091266629273
CRISPLD2,-0.046175256,-0.004911664,0.47039362896469356,1.108877489830462e-08
BASP1,-0.04574576,-0.0012678223,0.47039362896469356,0.6689558197789424
ACTA2,-0.030582925,0.0007131233,0.7691242579779153,0.6752181993694122
ZEB1,-0.029922664,-0.0006166947,0.7691242579779153,0.8838600624580962
EGFR,-0.026213523,-0.0046689864,0.8398784284404748,5.775214010720712e-08
TOMM7,-0.02600979,0.00012830696,0.8398784284404748,0.8838600624580962
S100A4,-0.016928544,-0.00028784003,0.9055821282979992,0.9891992480544723
SEC24A,-0.012298129,-5.4300457e-05,0.9055821282979992,0.9050015632950476
ADAM9,-0.010498085,-0.001335615,0.9055821282979992,0.6001781288474675
VOPP1,-0.007840095,-0.0014320359,0.9055821282979992,0.5316173955541538
ITM2C,-0.0045799245,-7.003006e-05,0.918893371345729,0.9050015632950476
RUNX1,-0.0037519394,-0.0015992003,0.918893371345729,0.4208257911288176
FGL2,-0.0016264583,0.00019138398,0.918893371345729,0.8838600624580962
SERPINB9,-0.00034535493,-0.0004616863,0.918893371345729,0.9050015632950476
MDM2,0.0019235978,-0.00026369558,0.9245778089728475,1.0
POLR2J3,0.0027265227,-0.0005833949,0.9245778089728475,0.8838600624580962
TMEM147,0.003140408,0.00015139466,0.9245778089728475,0.8838600624580962
ZEB2,0.008462659,-0.0009612521,1.0,0.8838600624580962
SERPINA3,0.010720829,0.0009343029,0.9645822978071651,0.5279463223165315
LDHB,0.012237511,-0.0006572236,0.945169343240266,0.8838600624580962
AIF1,0.015489267,0.00048843306,0.9245778089728475,0.8838600624580962
PTPRC,0.016309883,0.00047537804,0.9245778089728475,0.8838600624580962
FOXA1,0.017436633,0.00023560536,0.918893371345729,0.8838600624580962
LYZ,0.018300569,0.00046017335,0.918893371345729,0.8838600624580962
CXCR4,0.018578777,0.00080789096,0.918893371345729,0.6001781288474675
CTTN,0.019737236,-0.0008387945,0.918893371345729,0.8838600624580962
CAV1,0.021300022,4.229892e-05,0.918893371345729,0.8838600624580962
GLIPR1,0.023740504,-0.00050619995,0.9070080787580469,0.8946169406212485
ANKRD30A,0.02448072,-0.0008722717,0.9055821282979992,0.8838600624580962
TRAPPC3,0.025181275,-0.00023234753,0.9055821282979992,0.9891992480544723
CCDC6,0.025400415,0.00039897568,0.9055821282979992,0.8838600624580962
CCND1,0.026400164,4.1744614e-05,0.9055821282979992,0.8838600624580962
FAM107B,0.026722448,-0.00053517934,0.9055821282979992,0.8922668583920369
FCER1G,0.027404446,-0.00023516506,0.9055821282979992,0.9891992480544723
EPCAM,0.02750282,2.1593489e-05,0.9055821282979992,0.8920926354776025
ENAH,0.027692225,-0.00063724973,0.9055821282979992,0.8838600624580962
SMS,0.027923135,0.00029120504,0.9055821282979992,0.8838600624580962
FLNB,0.028421225,4.9138165e-05,0.9055821282979992,0.8838600624580962
SCD,0.030638233,-0.00012219127,0.9055821282979992,0.9191054014063043
ACTG2,0.03262755,-0.00073040556,0.9055821282979992,0.8838600624580962
CD4,0.03290447,0.00025891923,0.9055821282979992,0.8838600624580962
GATA3,0.034721393,-1.7499708e-05,0.9055821282979992,0.8946169406212485
ERBB2,0.03970455,-0.00042170173,0.8588858377511681,0.9154856405881509
PDK4,0.04090766,-0.0007028289,0.8476576306948528,0.8838600624580962
TACSTD2,0.041548304,0.00025619048,0.8476576306948528,0.8838600624580962
CEACAM6,0.0481198,5.566594e-05,0.7691242579779153,0.8838600624580962
KRT7,0.049311053,-9.044028e-05,0.7691242579779153,0.9133057214362034
DST,0.050982844,-0.00074714026,0.764715458699438,0.8838600624580962
PECAM1,0.05230608,0.00010114393,0.7562014279641451,0.8838600624580962
MYLK,0.1043644,-0.0019810512,0.040260245306409835,0.16530287984994216
