gene,accession,matched,signal_peptide,n_transmem,gpi,targeting
Acsbg1,Q99PU5,primary,0,0,0,Intracellular
Acta2,P62737,primary,0,0,0,Intracellular
Acvrl1,Q61288,primary,1,1,0,Transmembrane
Adamts2,Q8C9W3,primary,1,0,0,Secretory/GPI
Adamtsl1,Q8BLI0,primary,1,0,0,Secretory/GPI
Aldh1a2,Q62148,primary,0,0,0,Intracellular
Aqp4,P55088,primary,0,6,0,Transmembrane
Arc,Q9WV31,primary,0,0,0,Intracellular
Arhgap12,Q8C0D4,primary,0,0,0,Intracellular
Bhlhe40,O35185,primary,0,0,0,Intracellular
Cabp7,Q91ZM8,primary,0,1,0,Transmembrane
Calb2,Q08331,primary,0,0,0,Intracellular
Car4,Q64444,synonym,1,0,1,Secretory/GPI
Cd24a,P24807,synonym,1,0,1,Secretory/GPI
Cd53,Q61451,primary,0,4,0,Transmembrane
Cd93,O89103,primary,1,1,0,Transmembrane
Cldn5,O54942,primary,0,4,0,Transmembrane
Clmn,Q8C5W0,primary,0,1,0,Transmembrane
Cobll1,Q3UMF0,primary,0,0,0,Intracellular
Col1a1,P11087,primary,1,0,0,Secretory/GPI
Col6a1,Q04857,primary,1,0,0,Secretory/GPI
Cspg4,Q8VHY0,primary,1,1,0,Transmembrane
Cux2,P70298,primary,0,0,0,Intracellular
Cyp1b1,Q64429,primary,0,0,0,Intracellular
Dcn,P28654,primary,1,0,0,Secretory/GPI
Dkk3,Q9QUN9,primary,1,0,0,Secretory/GPI
Dner,Q8JZM4,primary,1,1,0,Transmembrane
Dpy19l1,A6X919,primary,0,11,0,Transmembrane
Dpyd,Q8CHR6,primary,0,0,0,Intracellular
Emcn,Q9R0H2,primary,1,1,0,Transmembrane
Epha4,Q03137,primary,1,1,0,Transmembrane
Fmod,P50608,primary,1,0,0,Secretory/GPI
Fn1,P11276,primary,1,0,0,Secretory/GPI
Foxp2,P58463,primary,0,0,0,Intracellular
Gad1,P48318,primary,0,0,0,Intracellular
Gfap,P03995,primary,0,0,0,Intracellular
Gjb2,Q00977,primary,0,4,0,Transmembrane
Gng12,Q9DAS9,primary,0,0,0,Intracellular
Hat1,Q8BY71,primary,0,0,0,Intracellular
Hpcal1,P62748,primary,0,0,0,Intracellular
Id2,P41136,primary,0,0,0,Intracellular
Igf1,P05017,primary,1,0,0,Secretory/GPI
Igf2,P09535,primary,1,0,0,Secretory/GPI
Igfbp4,P47879,primary,1,0,0,Secretory/GPI
Igfbp5,Q07079,primary,1,0,0,Secretory/GPI
Igfbp6,P47880,primary,1,0,0,Secretory/GPI
Inpp4b,Q6P1Y8,primary,0,0,0,Intracellular
Kctd12,Q6WVG3,primary,0,0,0,Intracellular
Kdr,P35918,primary,1,1,0,Transmembrane
Laptm5,Q61168,primary,0,5,0,Transmembrane
Mapk4,Q6P5G0,primary,0,0,0,Intracellular
Mecom,P14404,primary,0,0,0,Intracellular
Nr2f2,P43135,primary,0,0,0,Intracellular
Nrep,Q07475,primary,0,0,0,Intracellular
Nrn1,Q8CFV4,primary,1,0,1,Secretory/GPI
Nrp2,O35375,primary,1,1,0,Transmembrane
Ntsr2,P70310,primary,0,7,0,Transmembrane
Paqr5,Q9DCU0,primary,0,7,0,Transmembrane
Parm1,Q923D3,primary,1,1,0,Transmembrane
Pde7b,Q9QXQ1,primary,0,0,0,Intracellular
Pdgfra,P26618,primary,1,1,0,Transmembrane
Pdzd2,,unmatched,-1,-1,0,OTHER
Pdzrn3,Q69ZS0,primary,0,0,0,Intracellular
Pecam1,Q08481,primary,1,1,0,Transmembrane
Penk,P22005,primary,1,0,0,Secretory/GPI
Pip5k1b,P70181,primary,0,0,0,Intracellular
Plekha2,Q9ERS5,primary,0,0,0,Intracellular
Pln,P61014,primary,0,1,0,Transmembrane
Ppp1r1b,Q60829,primary,0,0,0,Intracellular
Rbp4,Q00724,primary,1,0,0,Secretory/GPI
Rims3,Q80U57,primary,0,0,0,Intracellular
Rnf152,Q8BG47,primary,0,1,0,Transmembrane
Rorb,Q8R1B8,primary,0,0,0,Intracellular
Sema3a,O08665,primary,1,0,0,Secretory/GPI
Sema3d,Q8BH34,primary,1,0,0,Secretory/GPI
Sema6a,O35464,primary,1,1,0,Transmembrane
Sipa1l3,G3X9J0,primary,0,0,0,Intracellular
Slc13a4,,unmatched,-1,-1,0,OTHER
Slc17a6,Q8BLE7,primary,0,12,0,Transmembrane
Slc17a7,Q3TXX4,primary,0,12,0,Transmembrane
Slc39a12,Q5FWH7,primary,0,8,0,Transmembrane
Slit2,Q9R1B9,primary,1,0,0,Secretory/GPI
Sncg,Q9Z0F7,primary,0,0,0,Intracellular
Sntb1,Q99L88,primary,0,0,0,Intracellular
Sox17,Q61473,primary,0,0,0,Intracellular
Spag16,Q8K450,primary,0,0,0,Intracellular
Spp1,P10923,primary,1,0,0,Secretory/GPI
Strip2,Q8C9H6,primary,0,0,0,Intracellular
Tle4,Q62441,primary,0,0,0,Intracellular
Vat1l,Q80TB8,primary,0,0,0,Intracellular
Zfp536,Q8K083,synonym,0,0,0,Intracellular
